#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
a long time	yeroo dheera
a lot	hedduu, baayee
a third	siisoo, nuusii, tokko sadaffaa
about, in regard to	waa'ee, waayee
above	irra, ol
absolutely	guutuumaatti, tasa, gonkumaa
accident	balaa
accidentally	tasuma, utuu hin yaadamiin, dimmaa
accomplice	tumsaa, tumsituu, baabsii
accomplishment	raawwii
account, calculation	herrega
accountant	herregaa, herregduu
accurate, correct	sirrii
accusation	himannaa
accustomed, familiar	beekamaa
ache	waraansa
action	gochaa, hojimaata
active	si'aawaa, si'ooftuu, hisataa, hisattuu
activity	sochii, hojii
actor	ta'aa
actress	taatuu
actually	dhugaadhumatti
addiction	araada, haraaraa
addictive	arachiisaa
additional	dabalata, edaasa
address	teesso
adequate, satisfactory	ga'aa, quubsaa
adjacent	wal bira, cinaa
adjective	addeessa
administration	bulchiinsa
administrator, governor	bulchaa, geggeessaa
admirer	leellisaa, leellistuu
adolescent	dardara, shamara
adorable	jaallatamaa, jaallatamtuu
adult	ga'eessa, geessuu
advantage	faayidaa, bu'aa
adverb	dabalgochima
adversity	rakkina, yeroo gadhee
advertisement	beeksisa, dhaadheessa
advice	gorsa
affection	jaalala, kabajaa
affluent	sooressa, badhaadhaa
afforestation	manca'a bosoonaa
after	booda
after that	sanaan booda, ergasi, isa booda
after…	erga…booda
afternoon	waaree booda
afterwards	eger, booddee
again	ammas, lamuum, irra deebii
age	umrii, ganna, waggaa
agenda	ajandaa
agent	abbaanaa
aggression	miira diinummaa, jibba
ago, before	dura
agony	dhiphina, gidiraa, gadadoo, hiraara
agreement	waliigaltee, dilaala, walta'iinsa
agricultural office	waajjira qonnaa
agriculture	qonnaa, qotiisa
ahead	gara fulduraatti
aid	gargaarsa
aim, goal	kaayyoo, galii, akeeka
air	qilleensa
air pollution	faalama qileensa
airplane	xiyyaara
airport	dirree xiyyaaraa
alarming	rifachiisaa, rifachiistuu
alcohol	alkoolii
all	cufa, hunda, mara, jiblaa
allergy	adanyoo
allowance	durgoo, olmaayaa
alone, by oneself	qobaa
alphabet	arfii, qubee
already	dursee, ammaan dura
also	itti dabalee, akkasumas
alteration	jijjiirama
although	ta'ullee, ta'us
always	yeroo hunda, hooggayyuu
amazing, awesome, surprising	dinqisiisaa
amiable	gammachiisaa, gammachiistuu
among	baay'ee keessaa, keessaa
amusing	kofalchiisaa, kofalchiistuu
ancestor	abuduroo, abuturoo
ancient	kan bara durii
and	fi
angry	kan aare
animal	neefkaa, bineelda, horii
animal (wild)	bineensa
ankle	kuburuu, kibirii
anklet	albo, bitoo
annoyance, anger	aarii, dallansuu
annual	kan waggaa
another, other	kan biraa, abbii
answer, change ($)	deebii
ant	jaamaa, mixii, gonjaree
antelope	arroolee
anti-	farra-
anus	futee
anxiety	yaaddoo, cinqii, badada
anxious	dhiphataa, dhiphattuu, cinqamaa, cinqamtuu
any	kamiyyuu, eenyuyyuu, tokkollee
anybody	eenyuyyuu, nami kamiyyuu
anything	halle, cufa, tokkollee
anyway	haala kaminiyyuu, karuma ta'en
anywhere, everywhere	bakkayyuu, eessattuu
apology, excuse me	dhiifama
appearance	bifa
apple	poomii
appointment	beellama
April (9th-May 8)	Ebila
apt	mijaa'aa, tolaa, sirrii
area	bakka
argument	falmii, falammii
arm, forearm	irree
armpit	ukoo, bobaa
army	raayyaa, ijaaba
around, environment	naannoo
arrogant	farangagsaa, oftuulaa, oftuultuu
arrow	xiyyaa, xiyyee
as much as, until	haga
as, like, similar to	akka
ash	daaraa
ashamed	qaana'aa
ask	qorqoro
ass, donkey	harree
attorney, lawyer	abukaattoo
attractive	hawwataa, hawwattuu
August (7th-Sept. 5)	Hagayya
aunt	adaadaa
author	barreessaa, barreessituu
authority	aangoo
average (arithmetic)	giddu galeesaa
avocado	abukaadoo
awful	sodaachiisaa, jibbisiisaa
awkward	heefa
axe	qottoo, dhakaraa
baby	daa'ima
back of house	boroo
backbone	dugugguruu, lafee dugdaa
bad	gadhee
badly	akka hamaa, haala gadheedhaan
bag	boorsaa, daduu, marraa, subba
ball	kuphaa, kubba
bamboo	leemmana, leemoo
banana	muuzii
barely	maqaadhaaf
barley	garbbu
basic	ambiiroo, yayyaba
basketball	kuphaa kaachoo
bat (animal)	lillixa, simbira halkanii, duduba
bathroom	kutaa dhiqannaa
battery	baatirii, tiriika
bean	baaqelaa
beard, mustache	areeda
beautiful	xuurumbullee, bareedduu, miidhagduu
because	sababinsa, sababiin isaa
bed	siree
bedbug	bacoo
bedroom	kutaa rafiitii, kutaa siree, kutaa ciisichaa
bee	kanniisa
beer	biiraa
beet	huunde diima, dindaa
before that	sanaan dura
before…	otuun/osoon…dura
beggar	kadhataa, kadhattuu
behavior, trait	amala
behind	booda, duuba
belief	amantaa, amantii
belongings, wealth	qabeenyaa
below	jalatti, gad
belt	qabatto, saqqii
berry	goraa
beside	maddii
better, best, most	daran
between	jidduu
beverage, drink	dhugaatii
Bible	Macaafa Qulqulluu
bicycle	biskileeta
big, large	guddaa
binoculars	naaduraa
bird	simbira
birthday	guyya dhalota
biscuit	biskuuti
bishops weed	sunqoo adii
bitter	hadhaa
black	gurraacha, gurraattii
black cumin	sunqoo gurracha
black pepper	qundo barbbaarree
blackboard	gabatee gurraacha
blank	duwwaa, qullaa
blanket	banjaa, baanaa, awusaa, birdlibsii
blessing, graduation	eebba
blood	dhiga
blue	dooqee
boar	gol'aa
boat	jabala
body	qaama, nafa, dhagna
bone	lafee
book	kitaaba
bookcase	dulaaba kitaabaa
boot	bottii
boring	nuffisiisaa, nuffisiistuu
both	lachuu
bottle	dulloo, xarmuushii, qaruuraa
bottle opener	baantu xarmuushii
bottom (adj)	gad, gajjallaa
boundary, limit	daangaa, timjii
bowl	caabii, shanni golboo
box	saanduqa, baakkoo
boy	ilma
boyfriend	jaalalle dhiiraa
bracelet	saldaaqa, anbar, laakkaa
brain	surrii
brave	goota
bread	daabboo
break (recess)	boqonnaa
breakfast	ciree
brick	xuubii
bridge	riqicha
broken	cabaa, cabduu
broom	harataa, hartuu, haxooftuu
brother	obboleessa
brown	daammii
budget	bajata
buffet	biifee
bulb, light bulb	balbii
bull, ox	sangaa
bus	otobisii
but, however	garuu
butter	dhadhaa
butterfly	billaacha
buttocks	fagaara
cabbage	xiqil goomanni, shaanaa, yumoo, kaaboolii
cake, pastry	keekii
calendar	kaaleendara
calf (young cow)	jabbii
camel	gaala
campus	adaalloo
can	xaasaa, kimboo
candle	shaamaa
candy	karameela
canoe	bidiruu
car accident	balaa makiina
cardamon	ogiyo
carpet, rug	afaa, afata lafaa, jibbaa
carrot	kaarooti
cash	qarshii, maallaqa, saantima
cat	adurree
cattle	horii, loon
cave	boongoo, holqa, qaalaa
certificate	waraqaa ragaa
chair	barcuma, teessoo, kursi
chalk	boronqii, cooki
chapter	boqonnaa
charcoal	kasala, cilee
charity	arjummaa, raamata
cheap	rakasa
cheese	aybii, saqana, qimixuu
chest	laphee, qoma
chickpea	shunburaa
child	daa'ma
children	ijoolee, daa'immaan
chin	maloolee, shangoobata
choice	filmaata, filannoo
christening	cuuphaa
Christmas	Ayyaana qillee
church	bataskaana
cinnamon	qarafaa
circle	geengoo, agaggee
citizens	biyyooma, lammii
citrus seed	heeli
city, town	magaalaa, diira
classroom	kuuta barnoota, kuuta daree
clean, holy	qulqulluu
clear	ifa
clever	abiddee, kormee, qumburree, hilluu, goolee, qaroo
climate change	jijiirama qilleensa
clock	sa'aatii gidgidaa
closed	cufaa
clothes	wayyaa, huccuu, uffata, daara
cloud	duumessa
cloudy	duumessaa'aa
clove	qurunfudii
coat	kootii
coffee	buna
coffee cup	shiini
cold	diilallaa'aa, qorraa
collar	kullittaa, mormee
color	halluu, dibeeta
community	bahaddaa
compost	kosii, dikee
compound (to live in)	moora
conclusion	xumura
confused	joonja'aa, joonjoftuu
congratulations	baga ittin isin gahe
connection	quunnamtii, walitti dhufeenya
conservation	eegumsa, kunuunsa
coriander	dimbilaala
corn, maize	boqqolloo, bondogee
corn, maize (fresh)	asheeta, shawwee
cost, price	gatii
cough	qufaa
count	lakkaa'a
country	biyya
cow	sawwa, sa'a
cows	looni
cripple	naafa
culture, tradition	aadaa, difuu, duudhaa, jifuu
cup	kubbaayyaa
customer	maamiila
cutting board	maktafa
dark	gurraacha
darkness	dukkana
daughter	intala
dawn	barii
day, date	guyyaa
dead	du'aa, duutuu
death	du'a
December(10th-Jan. 8)	Muddee
decide	murteessuu
decision, judgement	murtii
deforestation	cirama bosoonaa
delicious, sweet	mi'aawaa
description	ibsa, hubachiisa
desert	gammoojji o'ae
desertification	gammoojjummaa
development	misooma
development worker	hojjataa misooma
diarrhea	garaa kaasa
different	adda, adda-adda, garaagara
difficult	rakkisaa, ulfaataa, dadhabsiisaa
dinner, supper	irbaata, dhiyaana
dirty	balfaa, kosii, xuraawaa
discussion	marii
disease, illness	dhukkuba, dhibee
disgusting	jibbisiisaa
dish	shaanii
distant, far away	fagoo, hiixuu
district	aanaa
ditch	daafaa, huurufa
docile	kurunduufa, kasoo
doctor	hakiimii, doktarii
dog	saree
domestic animals	bineensoota mana
domestic, local	kan biyya keesa
door, gate	balbala, hulaa, karra, cufaa, cufantaa
doubt, suspicion	shakkii, ciicannoo
doubtful	shakkisiisaa, shakkisiistuu
down	gad, daka, goda
down payment	kaffaltii duraa
downward	gaditti
dozen	darzana
dress	wandaboo, qaamisii
drought	caamsaa, ongee, hongee
drunk, intoxicated	machaa'aa
dry	gogaa, gogduu
duck	daakkiyye
dusk	dimimmisa
dust	awwaara
each	tokkoon tokkoon
each other	wal, wali
eager	hawwii
ear	gurra
earring	gutichaa, lootii
earth	lafa, dachee
earthquake	kirkira lafaa
east	baha
Easter	Faasiikaa
easy, simple	salphaa
economy	dinagdee
ecosystem	sirnakkoo
education, lesson	barumsa
effect	taafee
effort	carraaqa
egg	hanqaaquu, buphaa, killee, okokkaa
eight	saddeet
eighty	sadeettama
elbow	ciqilee
election	filannoo, filmaata
elephant	arba
empty	duwwaa, adiyyoo
end	dhuma
energy	jumna
engineer	maandisa
English	Ingilizii
enough	ga'aa
enrollment	galmeessuu
entire	guutuumaatti
entrance	balbala, seensaa
envelope	poostaa
environmental protection	kunuunnsa naannoo
Epiphany	Ayyaana cuuphaa
equal	wal qixxee
era	bara
erosion	dhiqama biyyee
error, fault	balleessaa, dogoggora
especially	keessattuu, keessattiyyuu, addatti, keessumattuu
eucalyptus	baargamoo
evening	galgala
every	hunda, mara,, cufa
everybody	namuu
everyday	guyyuu, fardii
everything	hundumaa
exam	qormaata, mallaggaa
example	fakkeenya
except, without	malee
excrement	udaan, bobbaatii, huusoo
exercise (classroom)	gilgaala
exercise book	dabtara, dabtarii
exit	hulaa bahiisaa
expensive	mi'aa, qaalii, wuddii
expert, intellectual	haqila, hayyuu
explanation	ibsa
eye	ija
eyeball	boolla ijaa
